<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;03/01/18;000000;3341.0000000;3421.5000000;3340.0000000;3421.5000000;395453
LKOH;D;04/01/18;000000;3427.5000000;3501.0000000;3392.5000000;3501.0000000;701627
LKOH;D;05/01/18;000000;3498.0000000;3569.5000000;3491.0000000;3569.5000000;597301
LKOH;D;09/01/18;000000;3577.0000000;3647.5000000;3576.0000000;3628.5000000;847898
LKOH;D;10/01/18;000000;3640.0000000;3649.0000000;3594.5000000;3641.0000000;1024191
LKOH;D;11/01/18;000000;3642.0000000;3689.5000000;3610.0000000;3687.5000000;664947
LKOH;D;12/01/18;000000;3675.5000000;3942.0000000;3650.0000000;3908.0000000;2678386
LKOH;D;15/01/18;000000;3933.0000000;3985.0000000;3876.5000000;3876.5000000;926976
LKOH;D;16/01/18;000000;3887.0000000;3897.0000000;3767.5000000;3862.0000000;1157950
LKOH;D;17/01/18;000000;3844.0000000;3868.5000000;3811.0000000;3851.5000000;807544
LKOH;D;18/01/18;000000;3861.5000000;3890.0000000;3842.5000000;3855.0000000;979427
LKOH;D;19/01/18;000000;3852.5000000;3885.5000000;3801.0000000;3825.5000000;662103
LKOH;D;22/01/18;000000;3834.0000000;3871.0000000;3812.0000000;3870.0000000;610914
LKOH;D;23/01/18;000000;3868.5000000;3870.0000000;3791.0000000;3841.5000000;818691
LKOH;D;24/01/18;000000;3841.0000000;3852.5000000;3808.0000000;3850.0000000;523930
LKOH;D;25/01/18;000000;3859.5000000;3860.0000000;3808.0000000;3825.0000000;1088608
LKOH;D;26/01/18;000000;3819.5000000;3828.0000000;3780.5000000;3821.0000000;628492
LKOH;D;29/01/18;000000;3826.0000000;3830.5000000;3759.0000000;3778.0000000;726608
LKOH;D;30/01/18;000000;3753.0000000;3816.0000000;3703.0000000;3713.0000000;827096
LKOH;D;31/01/18;000000;3700.0000000;3759.0000000;3697.0000000;3728.0000000;1035787
LKOH;D;01/02/18;000000;3728.0000000;3762.5000000;3722.5000000;3760.5000000;506162
LKOH;D;02/02/18;000000;3753.0000000;3798.0000000;3741.0000000;3797.0000000;691958
LKOH;D;05/02/18;000000;3770.5000000;3787.5000000;3746.0000000;3752.0000000;723768
LKOH;D;06/02/18;000000;3677.0000000;3718.0000000;3611.5000000;3655.5000000;1798247
LKOH;D;07/02/18;000000;3686.5000000;3754.0000000;3675.0000000;3735.0000000;860437
LKOH;D;08/02/18;000000;3715.5000000;3750.5000000;3681.0000000;3686.0000000;1005624
LKOH;D;09/02/18;000000;3651.0000000;3679.5000000;3615.0000000;3617.5000000;1284030
LKOH;D;12/02/18;000000;3635.0000000;3682.5000000;3621.0000000;3656.5000000;745625
LKOH;D;13/02/18;000000;3663.0000000;3737.0000000;3650.0000000;3729.5000000;830472
LKOH;D;14/02/18;000000;3730.0000000;3751.5000000;3685.0000000;3709.0000000;680365
LKOH;D;15/02/18;000000;3736.0000000;3767.0000000;3726.5000000;3730.0000000;848052
LKOH;D;16/02/18;000000;3746.0000000;3819.0000000;3735.0000000;3751.0000000;795551
LKOH;D;19/02/18;000000;3755.0000000;3778.0000000;3705.5000000;3715.0000000;393621
LKOH;D;20/02/18;000000;3714.5000000;3744.0000000;3686.5000000;3744.0000000;362052
LKOH;D;21/02/18;000000;3735.0000000;3819.0000000;3731.5000000;3808.5000000;584017
LKOH;D;22/02/18;000000;3790.0000000;3836.0000000;3772.0000000;3836.0000000;772007
LKOH;D;26/02/18;000000;3868.5000000;3899.0000000;3814.0000000;3839.5000000;680629
LKOH;D;27/02/18;000000;3836.5000000;3855.5000000;3786.0000000;3838.5000000;658939
LKOH;D;28/02/18;000000;3816.0000000;3832.5000000;3775.0000000;3776.5000000;792666
LKOH;D;01/03/18;000000;3767.5000000;3790.0000000;3741.0000000;3754.0000000;575379
LKOH;D;02/03/18;000000;3750.0000000;3769.0000000;3675.5000000;3749.5000000;561753
LKOH;D;05/03/18;000000;3752.5000000;3786.0000000;3726.5000000;3730.0000000;374002
LKOH;D;06/03/18;000000;3744.5000000;3766.0000000;3727.5000000;3744.0000000;642927
LKOH;D;07/03/18;000000;3724.5000000;3726.0000000;3690.0000000;3721.0000000;677599
LKOH;D;09/03/18;000000;3710.0000000;3789.0000000;3706.0000000;3789.0000000;325216
LKOH;D;12/03/18;000000;3786.5000000;3794.0000000;3740.0000000;3770.0000000;372537
LKOH;D;13/03/18;000000;3767.0000000;3776.0000000;3742.0000000;3773.0000000;507728
LKOH;D;14/03/18;000000;3753.5000000;3776.0000000;3735.0000000;3742.0000000;502865
LKOH;D;15/03/18;000000;3746.5000000;3800.0000000;3718.5000000;3800.0000000;942981
LKOH;D;16/03/18;000000;3791.5000000;3874.5000000;3773.5000000;3874.5000000;1187368
LKOH;D;19/03/18;000000;3872.5000000;3880.0000000;3807.5000000;3815.0000000;580752
LKOH;D;20/03/18;000000;3827.0000000;3869.5000000;3792.0000000;3860.0000000;744160
LKOH;D;21/03/18;000000;3865.0000000;3937.0000000;3849.0000000;3874.0000000;783353
LKOH;D;22/03/18;000000;3885.0000000;3903.0000000;3829.0000000;3857.0000000;605800
LKOH;D;23/03/18;000000;3837.0000000;3915.0000000;3818.0000000;3874.5000000;1101700
LKOH;D;26/03/18;000000;3875.0000000;3889.0000000;3800.0000000;3800.0000000;637023
LKOH;D;27/03/18;000000;3831.5000000;3909.0000000;3820.0000000;3878.0000000;888225
LKOH;D;28/03/18;000000;3858.0000000;3947.0000000;3850.5000000;3927.0000000;708407
LKOH;D;29/03/18;000000;3931.0000000;3991.5000000;3916.5000000;3991.5000000;860928
LKOH;D;30/03/18;000000;3988.0000000;4004.0000000;3961.0000000;3961.0000000;265634
LKOH;D;02/04/18;000000;3965.0000000;4005.0000000;3955.5000000;3955.5000000;434343
LKOH;D;03/04/18;000000;3960.5000000;3975.0000000;3920.5000000;3951.0000000;460181
LKOH;D;04/04/18;000000;3945.5000000;3966.0000000;3897.0000000;3939.0000000;644493
LKOH;D;05/04/18;000000;3942.0000000;3990.0000000;3942.0000000;3990.0000000;615901
LKOH;D;06/04/18;000000;3967.5000000;3972.5000000;3918.5000000;3939.0000000;570461
LKOH;D;09/04/18;000000;3920.0000000;3920.5000000;3532.5000000;3620.0000000;2907522
LKOH;D;10/04/18;000000;3642.5000000;3935.0000000;3621.0000000;3908.5000000;2030557
LKOH;D;11/04/18;000000;3879.5000000;4077.0000000;3865.0000000;4070.0000000;2053143
LKOH;D;12/04/18;000000;4077.0000000;4098.0000000;3944.5000000;3979.0000000;1183797
LKOH;D;13/04/18;000000;3980.5000000;3982.0000000;3882.5000000;3902.0000000;1187061
LKOH;D;16/04/18;000000;3885.5000000;3935.5000000;3851.5000000;3892.0000000;755713
LKOH;D;17/04/18;000000;3918.0000000;3951.0000000;3905.0000000;3940.0000000;1010952
LKOH;D;18/04/18;000000;3935.0000000;4033.5000000;3927.5000000;4030.0000000;1086043
LKOH;D;19/04/18;000000;4028.0000000;4056.0000000;3994.0000000;4015.0000000;704154
LKOH;D;20/04/18;000000;4009.0000000;4029.0000000;3965.0000000;3985.0000000;433172
LKOH;D;23/04/18;000000;3981.5000000;4019.0000000;3933.0000000;3974.0000000;818623
LKOH;D;24/04/18;000000;4001.0000000;4063.0000000;3980.0000000;3999.5000000;730291
LKOH;D;25/04/18;000000;3971.0000000;4029.0000000;3950.5000000;4029.0000000;506256
LKOH;D;26/04/18;000000;4029.0000000;4157.0000000;4016.5000000;4140.0000000;957595
LKOH;D;27/04/18;000000;4140.5000000;4215.0000000;4140.5000000;4212.0000000;796150
LKOH;D;28/04/18;000000;4202.0000000;4202.0000000;4170.0000000;4178.5000000;83878
LKOH;D;30/04/18;000000;4180.5000000;4243.0000000;4156.5000000;4156.5000000;536920
LKOH;D;02/05/18;000000;4155.0000000;4206.0000000;4141.0000000;4141.0000000;577685
LKOH;D;03/05/18;000000;4136.5000000;4160.5000000;4068.0000000;4068.0000000;712695
LKOH;D;04/05/18;000000;4089.5000000;4128.0000000;4080.5000000;4108.0000000;558863
LKOH;D;07/05/18;000000;4119.5000000;4176.0000000;4112.0000000;4121.0000000;297022
LKOH;D;08/05/18;000000;4110.0000000;4180.0000000;4086.5000000;4180.0000000;693220
LKOH;D;10/05/18;000000;4225.0000000;4288.0000000;4209.5000000;4235.0000000;900266
LKOH;D;11/05/18;000000;4250.0000000;4383.0000000;4236.0000000;4383.0000000;950014
LKOH;D;14/05/18;000000;4373.0000000;4407.5000000;4322.5000000;4407.5000000;814347
LKOH;D;15/05/18;000000;4379.5000000;4404.0000000;4355.0000000;4392.0000000;860313
LKOH;D;16/05/18;000000;4380.5000000;4418.0000000;4347.5000000;4410.0000000;758822
LKOH;D;17/05/18;000000;4409.0000000;4430.5000000;4354.0000000;4354.0000000;672611
LKOH;D;18/05/18;000000;4360.0000000;4450.0000000;4354.5000000;4450.0000000;765700
LKOH;D;21/05/18;000000;4442.0000000;4453.5000000;4398.5000000;4398.5000000;497963
LKOH;D;22/05/18;000000;4408.0000000;4414.5000000;4337.0000000;4360.0000000;749297
LKOH;D;23/05/18;000000;4338.0000000;4338.5000000;4251.5000000;4263.0000000;789928
LKOH;D;24/05/18;000000;4283.0000000;4298.5000000;4230.0000000;4230.0000000;566271
LKOH;D;25/05/18;000000;4246.5000000;4281.5000000;4206.0000000;4248.0000000;766496
LKOH;D;28/05/18;000000;4252.0000000;4300.5000000;4217.0000000;4290.0000000;299236
LKOH;D;29/05/18;000000;4297.0000000;4298.5000000;4163.0000000;4224.0000000;839202
LKOH;D;30/05/18;000000;4220.5000000;4268.0000000;4181.5000000;4246.5000000;695064
LKOH;D;31/05/18;000000;4255.0000000;4262.0000000;4157.5000000;4209.0000000;1514501
LKOH;D;01/06/18;000000;4200.5000000;4258.0000000;4180.5000000;4205.5000000;749537
LKOH;D;04/06/18;000000;4224.5000000;4304.5000000;4224.5000000;4299.0000000;747434
LKOH;D;05/06/18;000000;4297.5000000;4313.5000000;4248.5000000;4278.0000000;1061031
LKOH;D;06/06/18;000000;4285.0000000;4285.0000000;4212.5000000;4264.5000000;523800
LKOH;D;07/06/18;000000;4270.0000000;4292.0000000;4250.0000000;4250.0000000;517950
LKOH;D;08/06/18;000000;4235.0000000;4282.5000000;4159.5000000;4159.5000000;939614
LKOH;D;09/06/18;000000;4172.5000000;4198.0000000;4168.5000000;4191.0000000;53658
LKOH;D;11/06/18;000000;4194.0000000;4199.5000000;4140.0000000;4159.5000000;301376
LKOH;D;13/06/18;000000;4181.5000000;4208.5000000;4140.0000000;4140.0000000;771934
LKOH;D;14/06/18;000000;4123.0000000;4136.0000000;4083.0000000;4090.0000000;564758
LKOH;D;15/06/18;000000;4102.5000000;4137.0000000;4053.0000000;4055.0000000;1592254
LKOH;D;18/06/18;000000;4039.0000000;4082.0000000;4018.0000000;4045.5000000;576631
LKOH;D;19/06/18;000000;4031.0000000;4108.5000000;4006.0000000;4091.0000000;833354
LKOH;D;20/06/18;000000;4106.0000000;4161.5000000;4097.5000000;4132.0000000;792489
LKOH;D;21/06/18;000000;4135.0000000;4171.5000000;4117.5000000;4135.0000000;693357
LKOH;D;22/06/18;000000;4155.0000000;4189.0000000;4125.0000000;4125.0000000;672993
LKOH;D;25/06/18;000000;4113.0000000;4167.5000000;4110.0000000;4140.0000000;489174
LKOH;D;26/06/18;000000;4151.0000000;4173.0000000;4128.0000000;4154.0000000;420364
LKOH;D;27/06/18;000000;4173.5000000;4259.0000000;4172.0000000;4222.0000000;592971
LKOH;D;28/06/18;000000;4220.0000000;4272.0000000;4212.5000000;4230.5000000;677872
LKOH;D;29/06/18;000000;4255.0000000;4355.0000000;4250.5000000;4350.0000000;1011367
LKOH;D;02/07/18;000000;4339.0000000;4401.0000000;4319.5000000;4376.0000000;853290
LKOH;D;03/07/18;000000;4366.0000000;4393.0000000;4322.0000000;4325.0000000;549349
LKOH;D;04/07/18;000000;4334.5000000;4349.5000000;4326.5000000;4334.5000000;152187
LKOH;D;05/07/18;000000;4331.0000000;4462.0000000;4326.0000000;4462.0000000;693200
LKOH;D;06/07/18;000000;4452.0000000;4452.0000000;4351.5000000;4415.5000000;740949
LKOH;D;09/07/18;000000;4410.5000000;4460.0000000;4410.0000000;4452.0000000;646440
LKOH;D;10/07/18;000000;4369.0000000;4409.5000000;4336.0000000;4355.0000000;1009272
LKOH;D;11/07/18;000000;4343.0000000;4350.0000000;4280.0000000;4280.0000000;594089
LKOH;D;12/07/18;000000;4273.0000000;4302.5000000;4223.0000000;4236.0000000;704863
LKOH;D;13/07/18;000000;4245.0000000;4333.5000000;4244.5000000;4319.0000000;556147
LKOH;D;16/07/18;000000;4320.0000000;4347.0000000;4265.0000000;4300.5000000;460353
LKOH;D;17/07/18;000000;4287.5000000;4287.5000000;4200.0000000;4262.5000000;562882
LKOH;D;18/07/18;000000;4269.0000000;4308.5000000;4240.0000000;4299.0000000;604992
LKOH;D;19/07/18;000000;4295.5000000;4334.0000000;4269.5000000;4334.0000000;577605
LKOH;D;20/07/18;000000;4340.0000000;4357.5000000;4286.0000000;4300.0000000;583318
LKOH;D;23/07/18;000000;4295.0000000;4382.5000000;4276.5000000;4340.0000000;441906
LKOH;D;24/07/18;000000;4360.0000000;4360.0000000;4317.5000000;4322.0000000;334112
LKOH;D;25/07/18;000000;4312.0000000;4396.0000000;4305.0000000;4385.0000000;470637
